time,issue_id,event_id,type,author,action,url
2024-11-29 15:20:23+00:00,10,15476896734,label,borisbaldassari,labeled Not Selected,https://github.com/borisbaldassari/my-ggi-deploy/issues/10
2024-11-29 15:20:23+00:00,10,15476896739,label,borisbaldassari,labeled Team Leader,https://github.com/borisbaldassari/my-ggi-deploy/issues/10
2024-11-29 15:20:24+00:00,10,15476896745,label,borisbaldassari,labeled Trust Goal,https://github.com/borisbaldassari/my-ggi-deploy/issues/10
2024-11-29 15:20:21+00:00,9,15476896375,label,borisbaldassari,labeled Decision Maker,https://github.com/borisbaldassari/my-ggi-deploy/issues/9
2024-11-29 15:20:21+00:00,9,15476896378,label,borisbaldassari,labeled Not Selected,https://github.com/borisbaldassari/my-ggi-deploy/issues/9
2024-11-29 15:20:21+00:00,9,15476896383,label,borisbaldassari,labeled Team Leader,https://github.com/borisbaldassari/my-ggi-deploy/issues/9
2024-11-29 15:20:21+00:00,9,15476896388,label,borisbaldassari,labeled Trust Goal,https://github.com/borisbaldassari/my-ggi-deploy/issues/9
2024-11-29 15:20:18+00:00,8,15476895943,label,borisbaldassari,labeled Developer,https://github.com/borisbaldassari/my-ggi-deploy/issues/8
2024-11-29 15:20:18+00:00,8,15476895955,label,borisbaldassari,labeled Not Selected,https://github.com/borisbaldassari/my-ggi-deploy/issues/8
2024-11-29 15:20:18+00:00,8,15476895965,label,borisbaldassari,labeled Team Leader,https://github.com/borisbaldassari/my-ggi-deploy/issues/8
2024-11-29 15:20:18+00:00,8,15476895972,label,borisbaldassari,labeled Trust Goal,https://github.com/borisbaldassari/my-ggi-deploy/issues/8
2024-11-29 15:20:15+00:00,7,15476895488,label,borisbaldassari,labeled Not Selected,https://github.com/borisbaldassari/my-ggi-deploy/issues/7
2024-11-29 15:20:15+00:00,7,15476895494,label,borisbaldassari,labeled Team Leader,https://github.com/borisbaldassari/my-ggi-deploy/issues/7
2024-11-29 15:20:15+00:00,7,15476895500,label,borisbaldassari,labeled Trust Goal,https://github.com/borisbaldassari/my-ggi-deploy/issues/7
2024-11-29 15:20:12+00:00,6,15476895010,label,borisbaldassari,labeled Decision Maker,https://github.com/borisbaldassari/my-ggi-deploy/issues/6
2024-11-29 15:20:12+00:00,6,15476895021,label,borisbaldassari,labeled Not Selected,https://github.com/borisbaldassari/my-ggi-deploy/issues/6
2024-11-29 15:20:12+00:00,6,15476895029,label,borisbaldassari,labeled Trust Goal,https://github.com/borisbaldassari/my-ggi-deploy/issues/6
2024-11-29 15:20:09+00:00,5,15476894512,label,borisbaldassari,labeled Not Selected,https://github.com/borisbaldassari/my-ggi-deploy/issues/5
2024-11-29 15:20:09+00:00,5,15476894515,label,borisbaldassari,labeled Team Leader,https://github.com/borisbaldassari/my-ggi-deploy/issues/5
2024-11-29 15:20:09+00:00,5,15476894523,label,borisbaldassari,labeled Usage Goal,https://github.com/borisbaldassari/my-ggi-deploy/issues/5
2024-11-29 15:20:05+00:00,4,15476893831,label,borisbaldassari,labeled Decision Maker,https://github.com/borisbaldassari/my-ggi-deploy/issues/4
2024-11-29 15:20:05+00:00,4,15476893841,label,borisbaldassari,labeled Not Selected,https://github.com/borisbaldassari/my-ggi-deploy/issues/4
2024-11-29 15:20:05+00:00,4,15476893851,label,borisbaldassari,labeled Usage Goal,https://github.com/borisbaldassari/my-ggi-deploy/issues/4
2024-11-29 15:20:02+00:00,3,15476892933,label,borisbaldassari,labeled Not Selected,https://github.com/borisbaldassari/my-ggi-deploy/issues/3
2024-11-29 15:20:02+00:00,3,15476892937,label,borisbaldassari,labeled Team Leader,https://github.com/borisbaldassari/my-ggi-deploy/issues/3
2024-11-29 15:20:02+00:00,3,15476892942,label,borisbaldassari,labeled Usage Goal,https://github.com/borisbaldassari/my-ggi-deploy/issues/3
2024-11-29 15:19:59+00:00,2,15476892514,label,borisbaldassari,labeled Not Selected,https://github.com/borisbaldassari/my-ggi-deploy/issues/2
2024-11-29 15:20:00+00:00,2,15476892521,label,borisbaldassari,labeled Team Leader,https://github.com/borisbaldassari/my-ggi-deploy/issues/2
2024-11-29 15:20:00+00:00,2,15476892526,label,borisbaldassari,labeled Usage Goal,https://github.com/borisbaldassari/my-ggi-deploy/issues/2
2024-11-29 15:19:56+00:00,1,15476892027,label,borisbaldassari,labeled Developer,https://github.com/borisbaldassari/my-ggi-deploy/issues/1
2024-11-29 15:19:57+00:00,1,15476892043,label,borisbaldassari,labeled Not Selected,https://github.com/borisbaldassari/my-ggi-deploy/issues/1
2024-11-29 15:19:57+00:00,1,15476892047,label,borisbaldassari,labeled Team Leader,https://github.com/borisbaldassari/my-ggi-deploy/issues/1
2024-11-29 15:19:57+00:00,1,15476892058,label,borisbaldassari,labeled Usage Goal,https://github.com/borisbaldassari/my-ggi-deploy/issues/1
